key,en,fr,es
,,,
//global,//global,//global,//global
nextLink, NEXT , NEXT  FR, NEXT  ES
museDisconnectedTitle,Muse Disconnected,Muse Disconnected FR,Muse Disconnected ES
museDisconnectedDescription,Please reconnect to continue the tutorial.,Please reconnect to continue the tutorial. FR,Please reconnect to continue the tutorial. ES
closeButton,Close,Close FR,Close ES
,,,
//begin-landing.js,//begin-landing.js,//begin-landing.js,//begin-landing.js
welcomeEEG101,Welcome to EEG 101,Welcome to EEG 101 FR,Welcome to EEG 101 ES
tutorialDescription,"At the end of this tutorial, you will have learned how EEG devices can be used to measure the electrical activity of the brain.","At the end of this tutorial, you will have learned how EEG devices can be used to measure the electrical activity of the brain. FR","At the end of this tutorial, you will have learned how EEG devices can be used to measure the electrical activity of the brain. ES"
getStartedLink, GET STARTED , GET STARTED  FR, GET STARTED  ES
,,,
//classifier.js,//classifier.js,//classifier.js,//classifier.js
classifierTitle,CLASSIFIER,CLASSIFIER FR,CLASSIFIER ES
collectButton,Collect,Collect FR,Collect ES
stopButton,Stop,Stop FR,Stop ES
trainButton,Train,Train FR,Train ES
runButton,Run,Run FR,Run ES
resetButton,Reset,Reset FR,Reset ES
,,,
//classifier-run.js,, FR, ES
tryingToUnderstand,Trying to understand your brain...,Trying to understand your brain... FR,Trying to understand your brain... ES
classifierReturnsDataset,"As this classifier runs, it will return the sample data set your real-time brain activity most closely resembles.","As this classifier runs, it will return the sample data set your real-time brain activity most closely resembles. FR","As this classifier runs, it will return the sample data set your real-time brain activity most closely resembles. ES"
retrainLink, RE-TRAIN , RE-TRAIN  FR, RE-TRAIN  ES
,,,
//connector-01.js,//connector-01.js,//connector-01.js,//connector-01.js
step1Title,Step 1,Step 1 FR,Step 1 ES
musePowerOnWarning,Make sure your Muse is powered on.,Make sure your Muse is powered on. FR,Make sure your Muse is powered on. ES
museFirstGenWarning,If you are using a first generation Muse you may need to pair your device in bluetooth settings.,If you are using a first generation Muse you may need to pair your device in bluetooth settings. FR,If you are using a first generation Muse you may need to pair your device in bluetooth settings. ES
connector2Link," OK, IT\'S ON "," OK, IT\'S ON  FR"," OK, IT\'S ON  ES"
,,,
//connector-02.js,//connector-02.js,//connector-02.js,//connector-02.js
step2Title,Step 2,Step 2 FR,Step 2 ES
getStartedLink, GET STARTED , GET STARTED  FR, GET STARTED  ES
waitMusePair,Wait for your Muse to pair \n with EEG 101...,Wait for your Muse to pair \n with EEG 101... FR,Wait for your Muse to pair \n with EEG 101... ES
,,,
//connector-03.js,//connector-03.js,//connector-03.js,//connector-03.js
step3Title,Step 3,Step 3 FR,Step 3 ES
museFitProperly,Make sure the Muse is properly fitted to your head.,Make sure the Muse is properly fitted to your head. FR,Make sure the Muse is properly fitted to your head. ES
fitInstructions,Fit the earpieces snugly behind your ears and adjust the headband so that it rests mid forehead. Clear any hair that might prevent the device from making contact with your skin.,Fit the earpieces snugly behind your ears and adjust the headband so that it rests mid forehead. Clear any hair that might prevent the device from making contact with your skin. FR,Fit the earpieces snugly behind your ears and adjust the headband so that it rests mid forehead. Clear any hair that might prevent the device from making contact with your skin. ES
,,,
//slide-01.js,//slide-01.js,//slide-01.js,//slide-01.js
introductionSlideTitle,INTRODUCTION,INTRODUCTION FR,INTRODUCTION ES
brainElectricity,Your brain produces electricity. ,Your brain produces electricity.  FR,Your brain produces electricity.  ES
EEGLink,The EEG,The EEG FR,The EEG ES
deviceCanDetect," device that you are wearing, we can detect the electrical activity of your brain."," device that you are wearing, we can detect the electrical activity of your brain. FR"," device that you are wearing, we can detect the electrical activity of your brain. ES"
usingThe,Using the,Using the FR,Using the ES
tryBlinkingEyes,Try blinking your eyes...,Try blinking your eyes... FR,Try blinking your eyes... ES
doesSignalChange,Does the signal change?,Does the signal change? FR,Does the signal change? ES
eyeMovementCreates,Eye movements create ,Eye movements create  FR,Eye movements create  ES
noiseLink,noise ,noise  FR,noise  ES
inEEGSignal, in the EEG signal., in the EEG signal. FR, in the EEG signal. ES
tryThinkingAbout,Try thinking about a cat...,Try thinking about a cat... FR,Try thinking about a cat... ES
doesSignalChange,Does the signal change?,Does the signal change? FR,Does the signal change? ES
althoughEEG,"Although EEG can measure overall brain activity, it’s not capable of ","Although EEG can measure overall brain activity, it’s not capable of  FR","Although EEG can measure overall brain activity, it’s not capable of  ES"
readingMindsLink,reading minds,reading minds FR,reading minds ES
tryClosingEyes10,Now try closing your eyes for 10 seconds.,Now try closing your eyes for 10 seconds. FR,Now try closing your eyes for 10 seconds. ES
mayNoticeSignalChange,You may notice a change in your signal due to an increase in ,You may notice a change in your signal due to an increase in  FR,You may notice a change in your signal due to an increase in  ES
alphaWavesLink,alpha waves.,alpha waves. FR,alpha waves. ES
whatIsEEGTitle,What exactly is EEG?,What exactly is EEG? FR,What exactly is EEG? ES
whatIsEEGDescription,"Electroencephalography (EEG) is a technique that measures the electrical activity of the brain with sensors that record fluctuations in voltage at the surface of the skull. The first human electroencephalogram was recorded in 1924 by Hans Berger, a German psychiatrist whose interest in ‘psychic energy’ led him to experiment with the electrical fields of the brain.","Electroencephalography (EEG) is a technique that measures the electrical activity of the brain with sensors that record fluctuations in voltage at the surface of the skull. The first human electroencephalogram was recorded in 1924 by Hans Berger, a German psychiatrist whose interest in ‘psychic energy’ led him to experiment with the electrical fields of the brain. FR","Electroencephalography (EEG) is a technique that measures the electrical activity of the brain with sensors that record fluctuations in voltage at the surface of the skull. The first human electroencephalogram was recorded in 1924 by Hans Berger, a German psychiatrist whose interest in ‘psychic energy’ led him to experiment with the electrical fields of the brain. ES"
noiseTitle,Noise,Noise FR,Noise ES
noiseDescription,"Movement of the eyes (which are electrically charged) and muscle activity produce electrical activity. Thus, blinking, swallowing, and clenching the jaw will all produce noise that can overpower signals originating in the brain. This can make it very difficult to read the EEG. To accurately sense the activity of the brain, movement must be kept to a minimum.","Movement of the eyes (which are electrically charged) and muscle activity produce electrical activity. Thus, blinking, swallowing, and clenching the jaw will all produce noise that can overpower signals originating in the brain. This can make it very difficult to read the EEG. To accurately sense the activity of the brain, movement must be kept to a minimum. FR","Movement of the eyes (which are electrically charged) and muscle activity produce electrical activity. Thus, blinking, swallowing, and clenching the jaw will all produce noise that can overpower signals originating in the brain. This can make it very difficult to read the EEG. To accurately sense the activity of the brain, movement must be kept to a minimum. ES"
cannotReadMindsTitle,EEG cannot read minds,EEG cannot read minds FR,EEG cannot read minds ES
cannotReadMindsDescription,"The EEG signal is generated when tens of thousands of brain cells fire in synchrony. Although thinking about a cat produces some change in brain activity, it is too small to affect the large-scale, rhythmic firing of the brain that EEG detects.","The EEG signal is generated when tens of thousands of brain cells fire in synchrony. Although thinking about a cat produces some change in brain activity, it is too small to affect the large-scale, rhythmic firing of the brain that EEG detects. FR","The EEG signal is generated when tens of thousands of brain cells fire in synchrony. Although thinking about a cat produces some change in brain activity, it is too small to affect the large-scale, rhythmic firing of the brain that EEG detects. ES"
eyeRythymsTitle,Closed eye rhythms,Closed eye rhythms FR,Closed eye rhythms ES
eyeRythymsDescription,"When the eyes are closed, there is often a large increase in rhythmic brain activity in the range of 8-13 cycles per second (Hz). These alpha waves were one of the first discoveries that Hans Berger made with EEG. The ability to detect alpha waves when the eyes are closed varies greatly from person to person, however. Don\'t feel bad if you can\'t see them!","When the eyes are closed, there is often a large increase in rhythmic brain activity in the range of 8-13 cycles per second (Hz). These alpha waves were one of the first discoveries that Hans Berger made with EEG. The ability to detect alpha waves when the eyes are closed varies greatly from person to person, however. Don\'t feel bad if you can\'t see them! FR","When the eyes are closed, there is often a large increase in rhythmic brain activity in the range of 8-13 cycles per second (Hz). These alpha waves were one of the first discoveries that Hans Berger made with EEG. The ability to detect alpha waves when the eyes are closed varies greatly from person to person, however. Don\'t feel bad if you can\'t see them! ES"
,,,
//slide-02.js,//slide-02.js,//slide-02.js,//slide-02.js
physiologySlideTitle,PHYSIOLOGY,PHYSIOLOGY FR,PHYSIOLOGY ES
EEGComeFrom,Where does the EEG signal come from?,Where does the EEG signal come from? FR,Where does the EEG signal come from? ES
EEGMeasures,The EEG measures the electrical activity that occurs when ,The EEG measures the electrical activity that occurs when  FR,The EEG measures the electrical activity that occurs when  ES
neuronsLink,neurons ,neurons  FR,neurons  ES
receiveAndTransmit, receive and transmit information., receive and transmit information. FR, receive and transmit information. ES
organizedNeural,Organized neural activity produces electric fields.,Organized neural activity produces electric fields. FR,Organized neural activity produces electric fields. ES
whenBillionsOfNeurons,When billions of neurons ,When billions of neurons  FR,When billions of neurons  ES
workTogetherLink,work together,work together FR,work together ES
produceThoughts," to produce thoughts, feelings, and behaviours, their electricity can be detected by electrodes on the scalp."," to produce thoughts, feelings, and behaviours, their electricity can be detected by electrodes on the scalp. FR"," to produce thoughts, feelings, and behaviours, their electricity can be detected by electrodes on the scalp. ES"
EEGDetects,"EEG detects the ""state"" of the brain.","EEG detects the ""state"" of the brain. FR","EEG detects the ""state"" of the brain. ES"
organizedElectricalActivity,"This organized electrical activity varies between different brain states, such as ","This organized electrical activity varies between different brain states, such as  FR","This organized electrical activity varies between different brain states, such as  ES"
sleepWakefulnessLink,sleep and wakefulness.,sleep and wakefulness. FR,sleep and wakefulness. ES
neuralBasisEEGTitle,Neural basis of EEG.,Neural basis of EEG. FR,Neural basis of EEG. ES
neuralBasisEEGDescription1,"When synapses are activated on a neuron\'s dendrites, a small electric field (dipole) is created along the body of the neuron due to the difference in charge between those dendrites and the axon. This electric field only lasts for a few milliseconds.","When synapses are activated on a neuron\'s dendrites, a small electric field (dipole) is created along the body of the neuron due to the difference in charge between those dendrites and the axon. This electric field only lasts for a few milliseconds. FR","When synapses are activated on a neuron\'s dendrites, a small electric field (dipole) is created along the body of the neuron due to the difference in charge between those dendrites and the axon. This electric field only lasts for a few milliseconds. ES"
neuralBasisEEGDescription2,"The electric fields produced by single neurons are vanishingly small. However, when large numbers of cortical neurons fire rhythmically, their activity can produce electric fields that are large enough to cross the surface of the skull. This process is influenced by many factors, including depth, orientation, and subtype of neurons, and is a topic of ongoing research.","The electric fields produced by single neurons are vanishingly small. However, when large numbers of cortical neurons fire rhythmically, their activity can produce electric fields that are large enough to cross the surface of the skull. This process is influenced by many factors, including depth, orientation, and subtype of neurons, and is a topic of ongoing research. FR","The electric fields produced by single neurons are vanishingly small. However, when large numbers of cortical neurons fire rhythmically, their activity can produce electric fields that are large enough to cross the surface of the skull. This process is influenced by many factors, including depth, orientation, and subtype of neurons, and is a topic of ongoing research. ES"
brainStatesTitle,Brain states.,Brain states. FR,Brain states. ES
brainStatesDescription,"During sleep our brains produce very different kinds of rhythmic electrical activity. When awake, brain rhythms tend to be rapidly-changing and irregular, while slowly-changing, organized rhythms become more dominant as we fall asleep and pass through the multiple sleep stages. {""\n""}Certain emotions and cognitive processes have also been linked with characteristic patterns of rhythmic activity that can be identified with EEG.","During sleep our brains produce very different kinds of rhythmic electrical activity. When awake, brain rhythms tend to be rapidly-changing and irregular, while slowly-changing, organized rhythms become more dominant as we fall asleep and pass through the multiple sleep stages. {""\n""}Certain emotions and cognitive processes have also been linked with characteristic patterns of rhythmic activity that can be identified with EEG. FR","During sleep our brains produce very different kinds of rhythmic electrical activity. When awake, brain rhythms tend to be rapidly-changing and irregular, while slowly-changing, organized rhythms become more dominant as we fall asleep and pass through the multiple sleep stages. {""\n""}Certain emotions and cognitive processes have also been linked with characteristic patterns of rhythmic activity that can be identified with EEG. ES"
,,,
//slide-03.js,//slide-03.js,//slide-03.js,//slide-03.js
hardwareSlideTitle,HARDWARE,HARDWARE FR,HARDWARE ES
howDoesEEGDeviceWork,How does an EEG device work?,How does an EEG device work? FR,How does an EEG device work? ES
electricalActivitySensed,The electrical activity of the brain is sensed by ,The electrical activity of the brain is sensed by  FR,The electrical activity of the brain is sensed by  ES
electrodesLink,electrodes,electrodes FR,electrodes ES
placedOnScalp, placed on the scalp., placed on the scalp. FR, placed on the scalp. ES
deviceHas4Electrodes,This device has 4 electrodes.,This device has 4 electrodes. FR,This device has 4 electrodes. ES
touchTheHeadDiagram,Touch the head diagram to view the signal at each electrode. Scientists have ,Touch the head diagram to view the signal at each electrode. Scientists have  FR,Touch the head diagram to view the signal at each electrode. Scientists have  ES
namesLink,names,names FR,names ES
forEachElectrode, for each of these electrodes., for each of these electrodes. FR, for each of these electrodes. ES
whatElectrodesMeasure,What do electrodes measure?,What do electrodes measure? FR,What do electrodes measure? ES
voltageFluctuations,Each electrode detects voltage fluctuations that are compared to a ,Each electrode detects voltage fluctuations that are compared to a  FR,Each electrode detects voltage fluctuations that are compared to a  ES
referenceElectrodeLink,reference electrode,reference electrode FR,reference electrode ES
amplified1Mil," and then amplified around 1,000,000 times."," and then amplified around 1,000,000 times. FR"," and then amplified around 1,000,000 times. ES"
electrodesTitle,Electrodes,Electrodes FR,Electrodes ES
electrodesDescription,An electrode is a conductor through which electricity flows. The device you are wearing (Muse) uses dry electrodes that don\'t require conductive gel and can be placed directly on the skin.,An electrode is a conductor through which electricity flows. The device you are wearing (Muse) uses dry electrodes that don\'t require conductive gel and can be placed directly on the skin. FR,An electrode is a conductor through which electricity flows. The device you are wearing (Muse) uses dry electrodes that don\'t require conductive gel and can be placed directly on the skin. ES
electrodeNamingTitle,Electrode naming conventions,Electrode naming conventions FR,Electrode naming conventions ES
electrodeNamingDescription,"EEG electrodes are typically identified by a combination of a letter and a number. The letter indicates the part of the head where the electrode is located (F for frontal, C for central, etc.). The number indicates distance from the midline of the head with odd numbers on the right and even numbers on the left.","EEG electrodes are typically identified by a combination of a letter and a number. The letter indicates the part of the head where the electrode is located (F for frontal, C for central, etc.). The number indicates distance from the midline of the head with odd numbers on the right and even numbers on the left. FR","EEG electrodes are typically identified by a combination of a letter and a number. The letter indicates the part of the head where the electrode is located (F for frontal, C for central, etc.). The number indicates distance from the midline of the head with odd numbers on the right and even numbers on the left. ES"
referencingTitle,Referencing,Referencing FR,Referencing ES
referencingDescription,"Each electrode\'s signal reflects the difference in electrical potential between that electrode and the reference. Thus, the placement of the reference electrode is very important. With Muse, the reference is located on the front of the forehead.","Each electrode\'s signal reflects the difference in electrical potential between that electrode and the reference. Thus, the placement of the reference electrode is very important. With Muse, the reference is located on the front of the forehead. FR","Each electrode\'s signal reflects the difference in electrical potential between that electrode and the reference. Thus, the placement of the reference electrode is very important. With Muse, the reference is located on the front of the forehead. ES"
,,,
//slide-04.js,//slide-04.js,//slide-04.js,//slide-04.js
filteringSlideTitle,FILTERING,FILTERING FR,FILTERING ES
raw,Raw,Raw FR,Raw ES
bandPassFilter,Band-Pass Filter,Band-Pass Filter FR,Band-Pass Filter ES
meaningfulData,How do we get meaningful data from the EEG?,How do we get meaningful data from the EEG? FR,How do we get meaningful data from the EEG? ES
firstEEGMust,"First, the EEG must be ","First, the EEG must be  FR","First, the EEG must be  ES"
filteredLink,filtered,filtered FR,filtered ES
toReduceSignals,to reduce signals that don\'t come from the brain.,to reduce signals that don\'t come from the brain. FR,to reduce signals that don\'t come from the brain. ES
filtersTitle,Filters,Filters FR,Filters ES
filtersDescription,"Filters remove frequencies that sit outside the spectrum of signals produced by the brain, getting rid of some of the noise produced by muscles or environmental electrical activity. Filters are normally either high-pass (removing low frequencies), low-pass (removing high frequencies) or band-pass (allowing only a specific band of frequencies through). Here, we have implemented a band-pass filter that removes frequencies outside the range of those typically produced by the brain.","Filters remove frequencies that sit outside the spectrum of signals produced by the brain, getting rid of some of the noise produced by muscles or environmental electrical activity. Filters are normally either high-pass (removing low frequencies), low-pass (removing high frequencies) or band-pass (allowing only a specific band of frequencies through). Here, we have implemented a band-pass filter that removes frequencies outside the range of those typically produced by the brain. FR","Filters remove frequencies that sit outside the spectrum of signals produced by the brain, getting rid of some of the noise produced by muscles or environmental electrical activity. Filters are normally either high-pass (removing low frequencies), low-pass (removing high frequencies) or band-pass (allowing only a specific band of frequencies through). Here, we have implemented a band-pass filter that removes frequencies outside the range of those typically produced by the brain. ES"
,,,
